field_name,dataset,description,unit,type,nullable,source,notes
selected_power,master_results.csv,Selected Tweedie variance power.,dimensionless,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
selected_hyperparameter,master_results.csv,Selected hyperparameter.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
validation_metric,master_results.csv,Validation metric.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
observed_paid,master_results.csv,Observed paid.,not applicable,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
true_ultimate,master_results.csv,True ultimate.,GBP,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
pipeline_reconciliation_passed,master_results.csv,Pipeline reconciliation passed.,not applicable,boolean,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model_reconciliation_passed,master_results.csv,Model reconciliation passed.,not applicable,boolean,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
analysis_type,baseline_model_results.csv,Role of the row in the final analysis hierarchy.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_step,baseline_model_results.csv,Dissertation step that produced the frozen source.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_name,baseline_model_results.csv,Human-readable frozen experiment identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source_file,baseline_model_results.csv,Repository-relative CSV from which the row was derived.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
scenario_id,baseline_model_results.csv,Frozen simulation scenario identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
simulation_id,baseline_model_results.csv,Simulation replicate identifier within scenario.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
seed,baseline_model_results.csv,"Recorded random seed, when retained by the frozen source.",not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model,baseline_model_results.csv,Canonical reserving model identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
basis,baseline_model_results.csv,Gross or ceded reserving basis.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
success,baseline_model_results.csv,Whether the estimator or mechanics row succeeded.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
applicable,baseline_model_results.csv,Whether the estimator was structurally applicable.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
fit_attempted,baseline_model_results.csv,Whether model fitting or estimation was attempted.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
status,baseline_model_results.csv,"Canonical success, failure, or structural-skip status.",not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
failure_type,baseline_model_results.csv,"Frozen failure classification, if any.",not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
failure_message,baseline_model_results.csv,"Frozen failure detail, if any.",not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
applicability_reason,baseline_model_results.csv,Applicability reason.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
estimated_reserve,baseline_model_results.csv,Portfolio or AY reserve estimate.,GBP,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
true_reserve,baseline_model_results.csv,Matching simulated evaluation reserve truth.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
reserve_error,baseline_model_results.csv,Estimated reserve minus true reserve.,GBP,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
percentage_error,baseline_model_results.csv,"Reserve error divided by truth, times 100.",percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
absolute_percentage_error,baseline_model_results.csv,Absolute value of percentage error.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
runtime_seconds,baseline_model_results.csv,Recorded source-row runtime.,seconds,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
tail_type,baseline_model_results.csv,Tail type.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
inflation_scenario,baseline_model_results.csv,Inflation scenario.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
structural_break,baseline_model_results.csv,Structural break.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
history_window_years,baseline_model_results.csv,Historical fitting-window length.,years,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
history_start_ay,baseline_model_results.csv,First accident year admitted to the history window.,calendar year,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_multiplier,baseline_model_results.csv,Factor applied to the frozen independent prior.,dimensionless,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
pattern_variant,baseline_model_results.csv,Frozen BF development-pattern configuration.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
treaty_variant,baseline_model_results.csv,Fixed-nominal or fully-indexed treaty configuration.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
calibration_version,baseline_model_results.csv,Calibration version.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_version,baseline_model_results.csv,Prior version.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
selected_alpha,baseline_model_results.csv,Regularisation strength selected from the frozen grid.,dimensionless,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
selected_power,baseline_model_results.csv,Selected Tweedie variance power.,dimensionless,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
selected_hyperparameter,baseline_model_results.csv,Selected hyperparameter.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
validation_metric,baseline_model_results.csv,Validation metric.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
observed_paid,baseline_model_results.csv,Observed paid.,not applicable,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
true_ultimate,baseline_model_results.csv,True ultimate.,GBP,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
pipeline_reconciliation_passed,baseline_model_results.csv,Pipeline reconciliation passed.,not applicable,boolean,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model_reconciliation_passed,baseline_model_results.csv,Model reconciliation passed.,not applicable,boolean,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
analysis_type,master_by_accident_year.csv,Role of the row in the final analysis hierarchy.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_step,master_by_accident_year.csv,Dissertation step that produced the frozen source.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_name,master_by_accident_year.csv,Human-readable frozen experiment identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source_file,master_by_accident_year.csv,Repository-relative CSV from which the row was derived.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
scenario_id,master_by_accident_year.csv,Frozen simulation scenario identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
simulation_id,master_by_accident_year.csv,Simulation replicate identifier within scenario.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
seed,master_by_accident_year.csv,"Recorded random seed, when retained by the frozen source.",not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
accident_year,master_by_accident_year.csv,Accident year represented by the detail row.,calendar year,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model,master_by_accident_year.csv,Canonical reserving model identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
basis,master_by_accident_year.csv,Gross or ceded reserving basis.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
success,master_by_accident_year.csv,Whether the estimator or mechanics row succeeded.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
applicable,master_by_accident_year.csv,Whether the estimator was structurally applicable.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
status,master_by_accident_year.csv,"Canonical success, failure, or structural-skip status.",not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
failure_type,master_by_accident_year.csv,"Frozen failure classification, if any.",not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
failure_message,master_by_accident_year.csv,"Frozen failure detail, if any.",not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
history_window_years,master_by_accident_year.csv,Historical fitting-window length.,years,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_multiplier,master_by_accident_year.csv,Factor applied to the frozen independent prior.,dimensionless,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
pattern_variant,master_by_accident_year.csv,Frozen BF development-pattern configuration.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
calibration_version,master_by_accident_year.csv,Calibration version.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_version,master_by_accident_year.csv,Prior version.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
paid_to_date,master_by_accident_year.csv,Paid amount observed by the valuation date.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_ultimate,master_by_accident_year.csv,Expected-loss prior ultimate for the accident year.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
assumed_paid_proportion,master_by_accident_year.csv,BF assumed cumulative paid proportion.,proportion (0-1),number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
estimated_reserve,master_by_accident_year.csv,Portfolio or AY reserve estimate.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
true_reserve,master_by_accident_year.csv,Matching simulated evaluation reserve truth.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
reserve_error,master_by_accident_year.csv,Estimated reserve minus true reserve.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
estimated_ultimate,master_by_accident_year.csv,Estimated ultimate.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
pattern_source,master_by_accident_year.csv,Pattern source.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
tail_type,master_by_accident_year.csv,Tail type.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
inflation_scenario,master_by_accident_year.csv,Inflation scenario.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
structural_break,master_by_accident_year.csv,Structural break.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
analysis_type,master_treaty_sensitivity.csv,Role of the row in the final analysis hierarchy.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_step,master_treaty_sensitivity.csv,Dissertation step that produced the frozen source.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_name,master_treaty_sensitivity.csv,Human-readable frozen experiment identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source_file,master_treaty_sensitivity.csv,Repository-relative CSV from which the row was derived.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
scenario_id,master_treaty_sensitivity.csv,Frozen simulation scenario identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
simulation_id,master_treaty_sensitivity.csv,Simulation replicate identifier within scenario.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
seed,master_treaty_sensitivity.csv,"Recorded random seed, when retained by the frozen source.",not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
treaty_variant,master_treaty_sensitivity.csv,Fixed-nominal or fully-indexed treaty configuration.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
tail_type,master_treaty_sensitivity.csv,Tail type.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
inflation_scenario,master_treaty_sensitivity.csv,Inflation scenario.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
structural_break,master_treaty_sensitivity.csv,Structural break.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
gross_ultimate,master_treaty_sensitivity.csv,Gross ultimate.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
ceded_ultimate,master_treaty_sensitivity.csv,Ceded ultimate.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
retained_ultimate,master_treaty_sensitivity.csv,Retained ultimate.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
ceded_share,master_treaty_sensitivity.csv,Ceded share.,proportion (0-1),number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
attachment_frequency,master_treaty_sensitivity.csv,Attachment frequency.,proportion (0-1),number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
exhaustion_frequency,master_treaty_sensitivity.csv,Exhaustion frequency.,proportion (0-1),number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
gross_true_reserve,master_treaty_sensitivity.csv,Gross true reserve.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
ceded_true_reserve,master_treaty_sensitivity.csv,Ceded true reserve.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
retained_true_reserve,master_treaty_sensitivity.csv,Retained true reserve.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
base_attachment,master_treaty_sensitivity.csv,Base attachment.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
base_limit,master_treaty_sensitivity.csv,Base limit.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
index_reference_year,master_treaty_sensitivity.csv,Index reference year.,calendar year,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
minimum_applied_index_factor,master_treaty_sensitivity.csv,Minimum applied index factor.,dimensionless,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
maximum_applied_index_factor,master_treaty_sensitivity.csv,Maximum applied index factor.,dimensionless,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
mean_applied_index_factor,master_treaty_sensitivity.csv,Mean applied index factor.,dimensionless,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
success,master_treaty_sensitivity.csv,Whether the estimator or mechanics row succeeded.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
status,master_treaty_sensitivity.csv,"Canonical success, failure, or structural-skip status.",not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
failure_message,master_treaty_sensitivity.csv,"Frozen failure detail, if any.",not applicable,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
runtime_seconds,master_treaty_sensitivity.csv,Recorded source-row runtime.,seconds,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
analysis_type,master_paired_comparisons.csv,Role of the row in the final analysis hierarchy.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
comparison_id,master_paired_comparisons.csv,Comparison id.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_step,master_paired_comparisons.csv,Dissertation step that produced the frozen source.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source_file,master_paired_comparisons.csv,Repository-relative CSV from which the row was derived.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
analysis_family,master_paired_comparisons.csv,Analysis family.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
scenario_id,master_paired_comparisons.csv,Frozen simulation scenario identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
basis,master_paired_comparisons.csv,Gross or ceded reserving basis.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model_a,master_paired_comparisons.csv,Model a.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model_b,master_paired_comparisons.csv,Model b.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
sensitivity_a,master_paired_comparisons.csv,Sensitivity a.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
sensitivity_b,master_paired_comparisons.csv,Sensitivity b.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
required_pairs,master_paired_comparisons.csv,Required pairs.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
valid_pairs,master_paired_comparisons.csv,Valid pairs.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
excluded_pairs,master_paired_comparisons.csv,Excluded pairs.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
mean_ape_a,master_paired_comparisons.csv,Mean ape a.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
mean_ape_b,master_paired_comparisons.csv,Mean ape b.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
mean_paired_difference,master_paired_comparisons.csv,Mean paired difference.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
median_paired_difference,master_paired_comparisons.csv,Median paired difference.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
std_paired_difference,master_paired_comparisons.csv,Std paired difference.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
win_rate_a,master_paired_comparisons.csv,Win rate a.,not applicable,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
win_rate_b,master_paired_comparisons.csv,Win rate b.,not applicable,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
tie_rate,master_paired_comparisons.csv,Tie rate.,proportion (0-1),number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
bootstrap_ci_lower,master_paired_comparisons.csv,Bootstrap ci lower.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
bootstrap_ci_upper,master_paired_comparisons.csv,Bootstrap ci upper.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
inference_direction,master_paired_comparisons.csv,Label determined solely from the frozen CI.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
group_type,master_paired_comparisons.csv,Group type.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
pool_label,master_paired_comparisons.csv,Pool label.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_step,master_applicability.csv,Dissertation step that produced the frozen source.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_name,master_applicability.csv,Human-readable frozen experiment identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
analysis_type,master_applicability.csv,Role of the row in the final analysis hierarchy.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model,master_applicability.csv,Canonical reserving model identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
basis,master_applicability.csv,Gross or ceded reserving basis.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
scenario_id,master_applicability.csv,Frozen simulation scenario identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
history_window_years,master_applicability.csv,Historical fitting-window length.,years,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
history_start_ay,master_applicability.csv,First accident year admitted to the history window.,calendar year,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_multiplier,master_applicability.csv,Factor applied to the frozen independent prior.,dimensionless,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
pattern_variant,master_applicability.csv,Frozen BF development-pattern configuration.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
calibration_version,master_applicability.csv,Calibration version.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_version,master_applicability.csv,Prior version.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
scheduled_count,master_applicability.csv,Scheduled count.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
attempted_count,master_applicability.csv,Attempted count.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
applicable_count,master_applicability.csv,Applicable count.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
structurally_not_applicable_count,master_applicability.csv,Structurally not applicable count.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
successful_count,master_applicability.csv,Successful count.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
